ciudad_casa,ubicacion,zona,ventaoalquiler,descripespecif,metrajeconstruc,metrajeterreno,precio,unidadterreno,seguridad,piscina/jacuzzi,terraza,baños,parqueo,financiamiento,zon_comercial,areasocial
Portoviejo,Tiburcio Macias Esquina,otras zonas / costa & galap.,VENTA,Casa,420.0,1800.0,320000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,2001 Y Calle Franco Dávila,gquil - centro,VENTA,Edificio,1784.0,400.0,630000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Guayaquil,Tung. 1101 Y 10 De Agosto,gquil - centro,VENTA,Casa,300.0,400.0,135000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Quito,Autopista Los Chillos P.#4 Lt# 343,quito - periférico,VENTA,Casa,450.0,4000.0,290000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Manz. 198 Villa 24,gquil - ceibos & vía a la costa,VENTA,Casa,100.0,104.0,24000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Manz. 136 Villa 5,gquil - norte,VENTA,Casa,299.0,120.0,150000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,1.0
Quito,La Peaña S16-396 Y Pallatanga Cdla Hierba Buena Ii,quito - centro&sur,VENTA,Casa,700.0,333.0,170000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Guayaquil,Cerca Shell Kennedy Norte,gquil - norte,VENTA,Villa,455.0,720.0,300000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,1.0
GUAYAQUIL,Frente A Parque,gquil - ceibos & vía a la costa,VENTA,CASA,500.0,670.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Estancias Del Río,gquil - samborondón,VENTA,Villa,190.0,460.0,190000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Frente A Riocentro,gquil - samborondón,VENTA,Casa,700.0,1360.0,650000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Isla Sol,gquil - samborondón,VENTA,Casa,850.0,900.0,600000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Al Pie Del Estero,gquil - norte,VENTA,Casa,650.0,2000.0,370000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Playas,Av. Sixto Chang. Mz 27(12). Solar 10,península & ruta del sol,VENTA,Casa,410.0,243.0,67500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,En El Mejor Sector,gquil - ceibos & vía a la costa,VENTA,CASA,370.0,300.0,180000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
